Año,Mes,Grupo,Subgrupo,Indicador_grup,Indicador
2010,Marzo,Alimentos y No alimentos,Alimentos,0.45,Variación mensual
2010,Marzo,Alimentos y No alimentos,Alimentos,3.8,Variación anual
2010,Marzo,Alimentos y No alimentos,Alimentos,2.75,Variación acumulada
2010,Abril,Alimentos y No alimentos,Alimentos,83.47,Índice
2010,Abril,Alimentos y No alimentos,Alimentos,0.85,Variación mensual
2010,Abril,Alimentos y No alimentos,Alimentos,3.69,Variación anual
2010,Abril,Alimentos y No alimentos,Alimentos,3.62,Variación acumulada
2010,Mayo,Alimentos y No alimentos,Alimentos,83.33,Índice
2010,Mayo,Alimentos y No alimentos,Alimentos,-0.17,Variación mensual
2010,Mayo,Alimentos y No alimentos,Alimentos,3.88,Variación anual
2010,Mayo,Alimentos y No alimentos,Alimentos,3.45,Variación acumulada
2010,Junio,Alimentos y No alimentos,Alimentos,83.05,Índice
2010,Junio,Alimentos y No alimentos,Alimentos,-0.34,Variación mensual
2010,Junio,Alimentos y No alimentos,Alimentos,4.15,Variación anual
2010,Junio,Alimentos y No alimentos,Alimentos,3.1,Variación acumulada
2010,Julio,Alimentos y No alimentos,Alimentos,82.93,Índice
2010,Julio,Alimentos y No alimentos,Alimentos,-0.14,Variación mensual
2010,Julio,Alimentos y No alimentos,Alimentos,4.35,Variación anual
2010,Julio,Alimentos y No alimentos,Alimentos,2.95,Variación acumulada
2010,Agosto,Alimentos y No alimentos,Alimentos,83.03,Índice
2010,Agosto,Alimentos y No alimentos,Alimentos,0.11,Variación mensual
2010,Agosto,Alimentos y No alimentos,Alimentos,5.78,Variación anual
2010,Agosto,Alimentos y No alimentos,Alimentos,3.07,Variación acumulada
2010,Septiembre,Alimentos y No alimentos,Alimentos,82.9,Índice
2010,Septiembre,Alimentos y No alimentos,Alimentos,-0.15,Variación mensual
2010,Septiembre,Alimentos y No alimentos,Alimentos,5.61,Variación anual
2010,Septiembre,Alimentos y No alimentos,Alimentos,2.91,Variación acumulada
2010,Octubre,Alimentos y No alimentos,Alimentos,83.38,Índice
2010,Octubre,Alimentos y No alimentos,Alimentos,0.58,Variación mensual
2010,Octubre,Alimentos y No alimentos,Alimentos,5.4,Variación anual
2010,Octubre,Alimentos y No alimentos,Alimentos,3.51,Variación acumulada
2010,Noviembre,Alimentos y No alimentos,Alimentos,84.06,Índice
2010,Noviembre,Alimentos y No alimentos,Alimentos,0.81,Variación mensual
2010,Noviembre,Alimentos y No alimentos,Alimentos,5.85,Variación anual
2010,Noviembre,Alimentos y No alimentos,Alimentos,4.35,Variación acumulada
2010,Diciembre,Alimentos y No alimentos,Alimentos,84.91,Índice
2010,Diciembre,Alimentos y No alimentos,Alimentos,1.01,Variación mensual
2010,Diciembre,Alimentos y No alimentos,Alimentos,5.4,Variación anual
2010,Diciembre,Alimentos y No alimentos,Alimentos,5.4,Variación acumulada
2011,Enero,Alimentos y No alimentos,Alimentos,85.94,Índice
2011,Enero,Alimentos y No alimentos,Alimentos,1.22,Variación mensual
2011,Enero,Alimentos y No alimentos,Alimentos,4.88,Variación anual
2011,Enero,Alimentos y No alimentos,Alimentos,1.22,Variación acumulada
2011,Febrero,Alimentos y No alimentos,Alimentos,86.73,Índice
2011,Febrero,Alimentos y No alimentos,Alimentos,0.93,Variación mensual
2011,Febrero,Alimentos y No alimentos,Alimentos,5.27,Variación anual
2011,Febrero,Alimentos y No alimentos,Alimentos,2.15,Variación acumulada
2011,Marzo,Alimentos y No alimentos,Alimentos,87.21,Índice
2011,Marzo,Alimentos y No alimentos,Alimentos,0.55,Variación mensual
2011,Marzo,Alimentos y No alimentos,Alimentos,5.37,Variación anual
2011,Marzo,Alimentos y No alimentos,Alimentos,2.71,Variación acumulada
2011,Abril,Alimentos y No alimentos,Alimentos,88.51,Índice
2011,Abril,Alimentos y No alimentos,Alimentos,1.49,Variación mensual
2011,Abril,Alimentos y No alimentos,Alimentos,6.03,Variación anual
2011,Abril,Alimentos y No alimentos,Alimentos,4.24,Variación acumulada
2011,Mayo,Alimentos y No alimentos,Alimentos,89.13,Índice
2011,Mayo,Alimentos y No alimentos,Alimentos,0.7,Variación mensual
2011,Mayo,Alimentos y No alimentos,Alimentos,6.96,Variación anual
2011,Mayo,Alimentos y No alimentos,Alimentos,4.98,Variación acumulada
2011,Junio,Alimentos y No alimentos,Alimentos,88.46,Índice
2011,Junio,Alimentos y No alimentos,Alimentos,-0.75,Variación mensual
2011,Junio,Alimentos y No alimentos,Alimentos,6.51,Variación anual
2011,Junio,Alimentos y No alimentos,Alimentos,4.18,Variación acumulada
2011,Julio,Alimentos y No alimentos,Alimentos,88.48,Índice
2011,Julio,Alimentos y No alimentos,Alimentos,0.02,Variación mensual
2011,Julio,Alimentos y No alimentos,Alimentos,6.68,Variación anual
2011,Julio,Alimentos y No alimentos,Alimentos,4.21,Variación acumulada
2011,Agosto,Alimentos y No alimentos,Alimentos,89.07,Índice
2011,Agosto,Alimentos y No alimentos,Alimentos,0.67,Variación mensual
2011,Agosto,Alimentos y No alimentos,Alimentos,7.28,Variación anual
2011,Agosto,Alimentos y No alimentos,Alimentos,4.91,Variación acumulada
2011,Septiembre,Alimentos y No alimentos,Alimentos,90.01,Índice
2011,Septiembre,Alimentos y No alimentos,Alimentos,1.05,Variación mensual
2011,Septiembre,Alimentos y No alimentos,Alimentos,8.57,Variación anual
2011,Septiembre,Alimentos y No alimentos,Alimentos,6.01,Variación acumulada
2011,Octubre,Alimentos y No alimentos,Alimentos,90.2,Índice
2011,Octubre,Alimentos y No alimentos,Alimentos,0.22,Variación mensual
2011,Octubre,Alimentos y No alimentos,Alimentos,8.18,Variación anual
2011,Octubre,Alimentos y No alimentos,Alimentos,6.24,Variación acumulada
2011,Noviembre,Alimentos y No alimentos,Alimentos,90.85,Índice
